# Frequency                gain                      delta_phi                
4.999999999999998295e+02 4.601476469887852416e-01 3.946495527102595879e-01
5.001191519196800641e+02 4.600796194947699980e-01 3.942165109016828595e-01
5.002383322337202003e+02 4.601903285129901322e-01 3.934336835614775651e-01
5.003575409488867649e+02 4.606341526103930328e-01 3.919066911558504174e-01
5.004767780719478765e+02 4.605794017031843990e-01 3.907342582139690101e-01
5.005960436096735862e+02 4.612330379292011728e-01 3.870164590156757178e-01
5.007153375688344568e+02 4.614072503029228445e-01 3.863577121547461246e-01
5.008346599562037795e+02 4.617650418093698916e-01 3.852850964723639748e-01
5.009540107785561531e+02 4.613392566797147043e-01 3.837234655130878913e-01
5.010733900426676541e+02 4.614973681640927583e-01 3.810624293056621426e-01
5.011927977553162350e+02 4.622365129929898453e-01 3.791371980877467074e-01
5.013122339232810987e+02 4.628528903859479571e-01 3.789114846551302485e-01
5.014316985533433808e+02 4.629177318465126922e-01 3.761556025123131697e-01
5.015511916522856950e+02 4.628888106973246819e-01 3.757089102478445852e-01
5.016707132268927012e+02 4.629928876383484493e-01 3.727574943637090854e-01
5.017902632839493435e+02 4.634359868559063123e-01 3.708238256766147600e-01
5.019098418302436357e+02 4.636099531484903502e-01 3.708431505633065228e-01
5.020294488725645579e+02 4.643216586496978771e-01 3.677140908443115030e-01
5.021490844177029089e+02 4.637920088336550672e-01 3.665349119811107670e-01
5.022687484724510227e+02 4.643976414447196222e-01 3.642597032766179410e-01
5.023884410436027679e+02 4.647010985032788422e-01 3.623146954491702765e-01
5.025081621379537751e+02 4.647188052994819518e-01 3.609766078724629956e-01
5.026279117623012098e+02 4.647028776803689976e-01 3.598395172507680151e-01
5.027476899234438861e+02 4.656120779232151841e-01 3.579005924226748014e-01
5.028674966281827210e+02 4.649158023211995561e-01 3.565743749508678562e-01
5.029873318833188023e+02 4.655544094689457180e-01 3.547699762330607243e-01
5.031071956956562303e+02 4.656955022314523407e-01 3.522263390695505869e-01
5.032270880720004129e+02 4.661621361205764424e-01 3.520223120704568665e-01
5.033470090191581221e+02 4.659974331309660878e-01 3.484786206143692944e-01
5.034669585439380057e+02 4.669769242032096868e-01 3.469300108792712223e-01
5.035869366531501328e+02 4.671027764906382496e-01 3.460301814211859117e-01
5.037069433536063912e+02 4.665109280231056754e-01 3.437316049647121119e-01
5.038269786521200899e+02 4.671279777961844237e-01 3.427791202107135504e-01
5.039470425555066981e+02 4.677059754851838891e-01 3.399575961089107423e-01
5.040671350705820259e+02 4.682570470861937562e-01 3.396162844169934303e-01
5.041872562041647825e+02 4.681095039838621408e-01 3.378460501768119073e-01
5.043074059630748138e+02 4.680418202120352755e-01 3.352753096022338397e-01
5.044275843541337281e+02 4.683603586727884682e-01 3.338541548159521533e-01
5.045477913841646682e+02 4.689858898924705866e-01 3.315147212619815598e-01
