# Frequency                gain                      delta_phi                
4.999999999999998295e+02 6.873506556584655369e-01 2.853025692340760422e-01
5.001191519196800641e+02 6.874823265210341372e-01 2.830880337950163472e-01
5.002383322337202003e+02 6.872105495417312193e-01 2.792278839412172253e-01
5.003575409488867649e+02 6.888268571907610882e-01 2.775660600062255234e-01
5.004767780719478765e+02 6.895831935188390105e-01 2.741146418581412725e-01
5.005960436096735862e+02 6.897064648633728368e-01 2.708779332003525830e-01
5.007153375688344568e+02 6.894174978737755977e-01 2.702807512185532168e-01
5.008346599562037795e+02 6.902161330705498532e-01 2.652522666457821643e-01
5.009540107785561531e+02 6.910599135704241780e-01 2.629890847055760261e-01
5.010733900426676541e+02 6.912471124696154545e-01 2.604026584742507033e-01
5.011927977553162350e+02 6.921882427679878491e-01 2.556719246385519284e-01
5.013122339232810987e+02 6.923270331854298743e-01 2.555366345581036036e-01
5.014316985533433808e+02 6.925294234763305079e-01 2.534775049069879493e-01
5.015511916522856950e+02 6.935532026495970781e-01 2.493561497168323982e-01
5.016707132268927012e+02 6.936738798360786440e-01 2.456368783459033089e-01
5.017902632839493435e+02 6.934607866731977710e-01 2.435381777157217265e-01
5.019098418302436357e+02 6.949597494074368775e-01 2.419763046259340022e-01
5.020294488725645579e+02 6.953962038001514356e-01 2.394141488396863693e-01
5.021490844177029089e+02 6.949485366090888405e-01 2.363845362488112833e-01
5.022687484724510227e+02 6.960720871834369383e-01 2.323111204053072143e-01
5.023884410436027679e+02 6.962237687970234123e-01 2.319082396849472261e-01
5.025081621379537751e+02 6.966082919246235905e-01 2.288033254499186597e-01
5.026279117623012098e+02 6.965539728702889732e-01 2.251591234923635554e-01
5.027476899234438861e+02 6.970831354573135963e-01 2.237158595789319193e-01
5.028674966281827210e+02 6.972874205275212400e-01 2.192043422700264976e-01
5.029873318833188023e+02 6.975422721769569678e-01 2.176893147708791609e-01
5.031071956956562303e+02 6.985963289991210523e-01 2.154832294728681319e-01
5.032270880720004129e+02 6.986077749572525697e-01 2.106379370730824263e-01
5.033470090191581221e+02 6.995303542955993992e-01 2.089286916995791721e-01
5.034669585439380057e+02 6.991269236543246057e-01 2.055194050727169319e-01
5.035869366531501328e+02 6.998839691479450398e-01 2.039595200585480050e-01
5.037069433536063912e+02 6.998519067291265605e-01 2.000912125722509316e-01
5.038269786521200899e+02 7.002947760541210487e-01 1.995537609545241509e-01
5.039470425555066981e+02 7.008275677382769242e-01 1.941737411747368469e-01
5.040671350705820259e+02 7.016786746947951681e-01 1.919582765811242986e-01
5.041872562041647825e+02 7.024005679954672399e-01 1.904761094458602422e-01
5.043074059630748138e+02 7.015106234142622910e-01 1.871411454090838866e-01
5.044275843541337281e+02 7.026319070898361385e-01 1.833771524227643113e-01
5.045477913841646682e+02 7.022821895025561645e-01 1.831022757588156580e-01
5.046680270599923688e+02 7.018682109368956645e-01 1.781358848744494239e-01
5.047882913884432128e+02 7.027648337616981822e-01 1.757319568360418138e-01
5.049085843763452885e+02 7.047880289992195513e-01 1.736290686747752332e-01
5.050289060305286739e+02 7.031384705300685045e-01 1.698313832455098371e-01
5.051492563578237309e+02 7.043823791112638899e-01 1.680046893270001895e-01
5.052696353650638912e+02 7.043050967894680658e-01 1.652214796078901315e-01
5.053900430590836663e+02 7.047102981894490803e-01 1.621058296496076245e-01
5.055104794467191596e+02 7.039636939146527439e-01 1.582653084084522099e-01
5.056309445348082932e+02 7.045260719962390672e-01 1.553889508273065267e-01
5.057514383301904104e+02 7.055236609369930356e-01 1.522779565221048514e-01
5.058719608397065599e+02 7.046609150005289646e-01 1.511933863799015398e-01
5.059925120701994388e+02 7.060285405676319792e-01 1.478352601823766932e-01
5.061130920285134493e+02 7.058689153351909162e-01 1.446318705943432370e-01
5.062337007214948699e+02 7.060954835740993474e-01 1.425035658476931921e-01
5.063543381559904333e+02 7.067618988882582443e-01 1.388908173788481193e-01
5.064750043388498284e+02 7.061170215028219621e-01 1.370434724438447383e-01
5.065956992769238809e+02 7.074124411635523968e-01 1.347716303755541745e-01
5.067164229770650650e+02 7.080000530063246256e-01 1.319612435168502351e-01
5.068371754461275032e+02 7.076092561451259311e-01 1.276422383355004797e-01
5.069579566909669666e+02 7.085458880314438046e-01 1.251887977221106674e-01
5.070787667184407610e+02 7.081617844963772335e-01 1.233484482748545830e-01
5.071996055354078976e+02 7.094919591246552359e-01 1.209888530749969604e-01
5.073204731487295476e+02 7.088388110380090534e-01 1.171529465636274026e-01
5.074413695652670526e+02 7.086757521850153285e-01 1.145743268828227635e-01
5.075622947918847672e+02 7.090228414656902789e-01 1.120141076107072919e-01
5.076832488354482962e+02 7.085128500557574815e-01 1.091792052712432515e-01
5.078042317028247794e+02 7.091386896366435044e-01 1.061439953950533699e-01
5.079252434008830619e+02 7.088854760932681298e-01 1.026401068963114227e-01
5.080462839364935803e+02 7.097637182099281183e-01 1.005310851838392416e-01
5.081673533165284766e+02 7.087580427720949761e-01 9.687391063409966918e-02
5.082884515478614276e+02 7.097830786637587819e-01 9.510181339151824176e-02
5.084095786373683268e+02 7.099794896930229360e-01 9.174065865804914566e-02
5.085307345919252384e+02 7.096532089985025937e-01 8.930669615680164597e-02
5.086519194184112962e+02 7.101726508317748321e-01 8.540896026866784396e-02
5.087731331237067707e+02 7.103379517572122603e-01 8.306860319270548132e-02
5.088943757146935809e+02 7.106771972976575480e-01 8.162810434847633800e-02
5.090156471982553512e+02 7.103590776911229421e-01 7.791285694049765453e-02
5.091369475812772407e+02 7.106601217902089873e-01 7.482779737243472340e-02
5.092582768706461138e+02 7.103009037305733075e-01 7.320165898789454673e-02
5.093796350732504834e+02 7.102192946418294239e-01 6.978158730615424687e-02
5.095010221959805108e+02 7.109782317123994888e-01 6.675995204960605278e-02
5.096224382457282900e+02 7.107280143191273547e-01 6.385587429688710515e-02
5.097438832293865403e+02 7.113366441215828173e-01 6.048069243207487844e-02
5.098653571538505958e+02 7.113679085502615518e-01 5.725551691565256007e-02
5.099868600260172116e+02 7.107797198366997415e-01 5.578552712551321235e-02
5.101083918527848482e+02 7.120422628731216674e-01 5.195905647095333535e-02
5.102299526410533304e+02 7.116175481543766113e-01 4.948277863559402689e-02
5.103515423977244154e+02 7.114336212418123084e-01 4.780457916798486195e-02
5.104731611297013387e+02 7.122120948560427545e-01 4.450064798852348957e-02
5.105948088438889840e+02 7.118202446161190355e-01 4.139226474752488727e-02
5.107164855471944520e+02 7.115522472095194839e-01 3.872989890956191061e-02
5.108381912465250139e+02 7.116328575494884623e-01 3.476149908669068367e-02
5.109599259487910103e+02 7.113334314247362622e-01 3.166419124455854828e-02
